31220,1558,1567,3B,3B,194
31220,1560,1570,3B,3B,14
31220,1567,1574,3B,3B,89
31220,1632,1818,4B,4B,17
31220,1632,1866,4B,4B,10
31220,1673,1698,1B,1B,36
31220,1819,1836,4B,4B,15
31220,1819,1866,4B,4B,4
31240,1741,1820,3A,3A,4
31240,1809,1822,3A,3A,10
31260,1558,1564,3B,3B,45
31260,1564,1567,3B,3B,16
31260,1564,1574,3B,3B,47
31260,1768,1783,1A,1A,27
31260,1802,1805,4B,4B,9
31260,1802,1831,4B,4B,7
31280,1503,1545,4A,4A,8
31280,1632,1819,4B,4B,11
31280,1757,1760,1A,1A,38
31300,1459,1516,5A,5A,11
31300,1617,1641,2A,2A,214
31300,1757,1761,1A,1A,36
31320,1452,1498,5A,5A,39
31320,1452,1520,5A,5A,17
31320,1468,1520,5A,5A,19
31320,1498,1520,5A,5A,68
31320,1502,1522,5A,5A,2
31320,1503,1539,4A,4A,112
31320,1643,1648,2A,2A,53
31320,1752,1778,1A,1A,1
31320,1761,1783,1A,1A,74
31320,1766,1770,1A,1A,42
31320,1767,1787,1A,1A,114
31320,1774,1778,1A,1A,8
31340,1452,1477,5A,5A,111
31340,1452,1483,5A,5A
31340,1457,1468,5A,5A,8
31340,1457,1502,5A,5A,23
31340,1459,1483,5A,5A,9
31340,1459,1498,5A,5A,68
31340,1459,1520,5A,5A,5
31340,1477,1498,5A,5A,18
31340,1479,1502,5A,5A,3
31340,1606,1616,2A,2A,248
31340,1613,1628,2A,2A,201
31340,1723,1809,3A,3A,118
31340,1723,1822,3A,3A,91
31340,1757,1783,1A,1A,43
31340,1757,1792,1A,1A,43
31360,1451,1493,5A,5A,15
31360,1451,1495,5A,5A,12
31360,1452,1458,5A,5A,32
31360,1458,1461,5A,5A,43
31360,1458,1477,5A,5A,51
31360,1461,1493,5A,5A,5
31360,1461,1495,5A,5A,12
31360,1477,1520,5A,5A,9
31360,1483,1498,5A,5A,5
31360,1483,1520,5A,5A,4
31360,1493,1495,5A,5A,2
31360,1802,1835,4B,4B,12
31380,1452,1522,5A,5A,54
31380,1453,1457,5A,5A,134
31380,1458,1502,5A,5A,9
31380,1461,1502,5A,5A,4
31380,1468,1522,5A,5A,18
31380,1477,1522,5A,5A,48
31380,1479,1495,5A,5A,38
31380,1711,1759,1A,1A,189
31380,1741,1782,3A,3A,2
31380,1741,1801,3A,3A,7
31380,1766,1772,1A,1A,92
31380,1774,1775,1A,1A,84
31380,1805,1831,4B,4B,1
31400,1453,1502,5A,5A,13
31400,1453,1522,5A,5A,3
31400,1516,1522,5A,5A,2
31400,1562,1570,3B,3B,7
31400,1613,1616,2A,2A,5
31400,1748,1822,3A,3A,12
31420,1452,1459,5A,5A,25
31420,1453,1493,5A,5A,17
31420,1457,1522,5A,5A,66
31420,1461,1479,5A,5A,10
31420,1468,1516,5A,5A,63
31420,1493,1502,5A,5A,118
31420,1617,1911,2A,2A,20
31440,1468,1502,5A,5A,11
31440,1477,1483,5A,5A
31440,1603,1643,2A,2A,24
31460,1501,1502,5A,5A,144
31460,1835,1857,4B,4B,16
31460,1836,1866,4B,4B,8
31480,1458,1493,5A,5A,60
31480,1831,1866,4B,4B,4
31500,1453,1458,5A,5A,1
31500,1453,1520,5A,5A,1
31500,1461,1516,5A,5A,90
31500,1609,1911,2A,2A,4
31520,1439,1486,5B,5B,23
31520,1560,1594,3B,3B,48
31520,1698,1745,1B,Teachers,61
31520,1711,1752,1A,1A,15
31540,1428,1471,5B,5B,18
31540,1428,1563,5B,5B,10
31540,1428,1592,5B,5B,2
31540,1603,1613,2A,2A,2
31540,1625,1628,2A,2A,102
31540,1805,1847,4B,4B,4
31560,1430,1482,5B,5B,29
31560,1818,1866,4B,4B,4
31580,1428,1451,5B,5A,3
31580,1430,1435,5B,5B,6
31580,1430,1489,5B,5B,1
31580,1585,1824,5B,Teachers,15
31580,1630,1821,4B,4B,10
31580,1803,1821,4B,4B,7
31600,1427,1465,5B,5B,97
31600,1431,1465,5B,5B,43
31600,1465,1585,5B,5B,1
31600,1477,1578,5A,5B,36
31600,1567,1594,3B,3B,15
31600,1632,1805,4B,4B,3
31600,1697,1765,1B,1B,44
31600,1805,1866,4B,4B,3
31600,1835,1836,4B,4B,1
31620,1426,1471,5B,5B,54
31620,1427,1429,5B,5B,70
31620,1625,1852,2A,Teachers,16
31640,1604,1913,2A,2A,1
31640,1613,1902,2A,2A,36
31640,1617,1919,2A,2A,8
31640,1630,1803,4B,4B,3
31640,1630,1888,4B,4B
31640,1641,1919,2A,2A,21
31640,1852,1902,Teachers,2A,22
31640,1911,1916,2A,2A,41
31640,1913,1922,2A,2A,17
31660,1458,1489,5A,5B,1
31660,1458,1578,5A,5B,6
31660,1603,1922,2A,2A,54
31660,1609,1917,2A,2A,75
31660,1625,1902,2A,2A,125
31660,1632,1895,4B,4B,6
31660,1643,1913,2A,2A,3
31660,1643,1922,2A,2A,18
31660,1807,1880,4B,4B,75
31660,1818,1895,4B,4B,28
31660,1821,1885,4B,4B,3
31660,1885,1895,4B,4B,9
31680,1714,1763,3A,3A,14
31680,1831,1888,4B,4B,143
31700,1695,1920,1B,1B,242
31700,1888,1892,4B,4B,31
31720,1500,1539,4A,4A,41
31720,1663,1698,1B,1B,299
31720,1684,1698,1B,1B,46
31720,1698,1920,1B,1B,8
31740,1545,1548,4A,4A,5
31740,1545,1549,4A,4A,3
31740,1545,1815,4A,4A,8
31740,1548,1549,4A,4A,3
31740,1548,1815,4A,4A,8
31740,1663,1684,1B,1B,45
31740,1682,1687,1B,1B,275
31760,1545,1653,4A,Teachers,6
31760,1613,1907,2A,2A,45
31760,1656,1670,1B,1B,34
31760,1656,1681,1B,1B,5
31760,1666,1674,1B,1B,19
31760,1670,1674,1B,1B,27
31760,1681,1745,1B,Teachers,11
31760,1802,1803,4B,4B,174
31780,1500,1705,4A,4A,33
31780,1503,1524,4A,4A,129
31780,1656,1675,1B,1B,149
31780,1680,1908,1B,1B,80
31800,1504,1653,4A,Teachers,38
31800,1539,1705,4A,4A,66
31800,1539,1837,4A,4A,30
31800,1661,1695,1B,1B,72
31800,1666,1696,1B,1B,22
31800,1682,1920,1B,1B,16
31800,1688,1745,1B,Teachers,68
31800,1705,1837,4A,4A,27
31800,1714,1843,3A,3A,5
31820,1532,1549,4A,4A,20
31820,1532,1815,4A,4A,14
31820,1617,1917,2A,2A,2
31840,1545,1837,4A,4A,137
31840,1606,1613,2A,2A,5
31860,1533,1653,4A,Teachers,51
31880,1525,1548,4A,4A,35
31880,1533,1549,4A,4A,40
31880,1805,1819,4B,4B,35
31880,1805,1865,4B,4B,4
31900,1653,1815,Teachers,4A,32
31900,1663,1920,1B,1B,63
31920,1504,1815,4A,4A,26
31940,1439,1480,5B,5B,114
31940,1606,1906,2A,2A,172
31940,1649,1906,2A,2A,39
31940,1663,1745,1B,Teachers,70
31960,1606,1625,2A,2A,9
31960,1772,1774,1A,1A,34
31980,1504,1546,4A,4A,13
31980,1603,1648,2A,2A,8
31980,1604,1852,2A,Teachers,20
31980,1663,1665,1B,1B,198
31980,1666,1695,1B,1B,221
31980,1680,1912,1B,1B,21
31980,1852,1911,Teachers,2A,4
31980,1907,1913,2A,2A,2
31980,1916,1917,2A,2A,2
32000,1603,1606,2A,2A,1
32000,1606,1922,2A,2A,1
32000,1609,1852,2A,Teachers,4
32000,1609,1902,2A,2A,2
32000,1831,1865,4B,4B,17
32000,1852,1917,Teachers,2A,4
32020,1546,1653,4A,Teachers,8
32020,1546,1815,4A,4A,26
32020,1606,1648,2A,2A,6
32020,1628,1902,2A,2A,52
32020,1711,1767,1A,1A,34
32020,1770,1772,1A,1A,9
32020,1770,1774,1A,1A,14
32020,1907,1919,2A,2A,7
32020,1913,1919,2A,2A,19
32040,1486,1489,5B,5B,4
32040,1504,1837,4A,4A,26
32040,1548,1705,4A,4A,31
32040,1613,1625,2A,2A,7
32040,1625,1911,2A,2A,53
32040,1641,1916,2A,2A,3
32040,1665,1745,1B,Teachers,45
32060,1426,1486,5B,5B,5
32060,1429,1431,5B,5B,55
32060,1435,1475,5B,5B,6
32060,1439,1489,5B,5B,5
32060,1451,1501,5A,5A,71
32060,1468,1471,5A,5B,1
32060,1486,1578,5B,5B,17
32060,1525,1545,4A,4A,5
32060,1545,1705,4A,4A,62
32060,1603,1913,2A,2A,2
32060,1648,1911,2A,2A,1
32060,1653,1824,Teachers,Teachers,1
32060,1653,1837,Teachers,4A,19
32060,1741,1800,3A,3A
32080,1427,1486,5B,5B,6
32080,1428,1459,5B,5A,2
32080,1428,1495,5B,5A,10
32080,1428,1498,5B,5A,18
32080,1428,1520,5B,5A,30
32080,1430,1434,5B,5B,3
32080,1430,1471,5B,5B,3
32080,1431,1435,5B,5B,3
32080,1434,1435,5B,5B,1
32080,1434,1457,5B,5A,5
32080,1434,1475,5B,5B,82
32080,1435,1502,5B,5A
32080,1451,1592,5A,5B,18
32080,1452,1471,5A,5B,35
32080,1452,1592,5A,5B,18
32080,1453,1468,5A,5A,8
32080,1459,1585,5A,5B,1
32080,1471,1592,5B,5B,27
32080,1489,1563,5B,5B,132
32080,1495,1520,5A,5A,19
32080,1495,1585,5A,5B
32080,1501,1592,5A,5B
32080,1532,1538,4A,4A,61
32080,1604,1641,2A,2A
32080,1673,1682,1B,1B,73
32080,1714,1859,3A,3A,2
32080,1727,1735,3B,3B,15
32080,1795,1909,3A,3A,35
32080,1911,1917,2A,2A,5
32100,1426,1441,5B,5B,1
32100,1426,1498,5B,5A,54
32100,1451,1471,5A,5B
32100,1452,1563,5A,5B
32100,1452,1824,5A,Teachers,2
32100,1468,1477,5A,5A,35
32100,1482,1493,5B,5A,5
32100,1489,1824,5B,Teachers,12
32100,1516,1578,5A,5B,3
32100,1522,1585,5A,5B,8
32100,1549,1653,4A,Teachers,14
32100,1603,1911,2A,2A
32100,1617,1852,2A,Teachers,10
32100,1617,1916,2A,2A,5
32100,1666,1688,1B,1B,43
32100,1675,1688,1B,1B,54
32100,1688,1695,1B,1B,30
32100,1746,1820,Teachers,3A,2
32100,1820,1838,3A,3A,29
32100,1907,1922,2A,2A,11
32120,1426,1592,5B,5B,5
32120,1437,1457,5B,5A,29
32120,1443,1502,5B,5A,49
32120,1451,1452,5A,5A,15
32120,1451,1563,5A,5B,9
32120,1452,1486,5A,5B,2
32120,1459,1578,5A,5B,26
32120,1498,1563,5A,5B,3
32120,1502,1578,5A,5B,4
32120,1520,1592,5A,5B,2
32120,1525,1815,4A,4A,17
32120,1604,1907,2A,2A
32120,1606,1916,2A,2A
32120,1746,1780,Teachers,3A,6
